Iteration	Posterior	Likelihood	Prior	age_extant	branch_rates	diversification	extinction_rate	fossil_samp_rate	num_samp_anc	origin_time	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	turnover
52000	-605.518	-496.4288	-109.0893	26.60479	0.03892571	0.1119498	0.1458952	0.01537331	4	28.74972	0.257845	19.0512	5.86579	5.50049	8.70245	22.9381	0.5658252
52500	-611.839	-504.692	-107.147	25.71242	0.03912951	0.09308073	0.05397957	0.02084928	4	29.31007	0.1470603	18.7792	14.1617	15.7645	11.3448	18.3169	0.3670574
53000	-611.0049	-500.9065	-110.0984	23.6112	0.0522967	0.07178512	0.1699416	0.08020887	3	24.10325	0.2417267	20.2167	9.0229	10.7624	8.14916	14.1117	0.7030319
53500	-619.3204	-508.4753	-110.8451	24.14494	0.03273734	0.1254125	0.07134734	0.0229017	4	29.68121	0.1967598	17.6947	5.98218	6.03543	8.16107	14.5784	0.3626114
54000	-607.7513	-502.1361	-105.6153	21.0413	0.05697786	0.09211554	0.1388035	0.07600563	4	25.74026	0.230919	16.3977	13.5465	12.1954	8.36325	12.0883	0.6010916
54500	-613.393	-503.0364	-110.3566	23.40874	0.03471795	0.05250337	0.1406873	0.02995793	3	25.64864	0.1931906	16.8552	10.4105	10.7785	11.0223	13.3707	0.7282303
55000	-611.7411	-502.1258	-109.6152	22.64769	0.05187104	0.1428772	0.03147684	0.03037603	3	26.0152	0.1743541	18.0371	15.9082	15.3657	9.11564	12.0802	0.180534
55500	-607.6136	-500.2545	-107.3591	25.2865	0.04746902	0.1348952	0.03211588	0.03595557	3	26.53759	0.1670111	18.631	14.1562	12.2968	7.81074	16.2393	0.1922979
56000	-614.2797	-501.9289	-112.3508	23.48982	0.04588355	0.01432107	0.07676219	0.01996687	3	28.86552	0.09108326	17.8996	5.83501	5.89123	8.40116	17.5214	0.8427695
56500	-619.4787	-512.832	-106.6467	27.67107	0.05881675	0.106106	0.1682363	0.04870732	3	27.83894	0.2743423	18.9514	7.15627	7.77343	9.72125	18.9202	0.6132349
57000	-609.2431	-503.9433	-105.2999	22.25415	0.05029382	0.197627	0.05670927	0.03479438	4	24.37272	0.2543363	16.3216	15.5157	12.9217	8.86618	12.3562	0.2229696
57500	-610.164	-504.1058	-106.0582	22.51988	0.05645802	0.1433266	0.03450818	0.06496812	4	29.79309	0.1778348	17.1801	9.71808	10.9064	9.14686	19.2375	0.1940463
58000	-629.2226	-509.3553	-119.8674	28.51664	0.02760963	0.06844556	0.1309694	0.02333338	1	29.55761	0.199415	17.0728	15.4273	9.16983	9.9795	20.2484	0.6567682
58500	-611.6722	-498.4323	-113.2399	28.12115	0.03396446	0.01524963	0.1740924	0.01130119	3	28.3518	0.189342	16.9527	12.2023	11.2688	8.47576	15.4633	0.9194599
59000	-611.4624	-503.3331	-108.1294	22.78528	0.03473448	0.1019943	0.1183348	0.02142347	4	24.71909	0.2203291	16.2016	14.3035	10.9574	9.27182	15.5418	0.537082
59500	-611.4459	-502.2391	-109.2068	25.127	0.0466154	0.1681161	0.01995202	0.04274997	3	27.68757	0.1880682	18.3452	14.0715	15.768	7.47939	20.2505	0.1060893
60000	-611.7334	-501.4286	-110.3048	27.00699	0.03752946	0.05046349	0.04882201	0.02121957	4	28.83395	0.0992855	20.0769	9.24863	7.02964	8.98727	14.6398	0.4917335
60500	-611.8781	-506.8759	-105.0021	20.13332	0.04492779	0.1259456	0.1065963	0.03802134	4	29.0561	0.2325419	19.0831	7.10282	10.4647	8.2605	14.6931	0.458396
61000	-607.5747	-498.6208	-108.954	25.92953	0.03628053	0.07119497	0.05002564	0.01223385	4	28.30309	0.1212206	16.441	7.61409	8.01067	9.37638	21.0111	0.4126826
61500	-607.9498	-501.0649	-106.8849	24.87136	0.04709811	0.06837113	0.05779044	0.01235595	4	25.94923	0.1261616	18.8979	6.41657	6.88646	8.61093	15.5503	0.4580669
62000	-612.8651	-506.2572	-106.6078	23.09036	0.03856632	0.06411104	0.122825	0.01877487	4	26.04943	0.186936	16.9825	14.1649	7.30367	8.92481	13.6247	0.6570428
62500	-620.0676	-502.7317	-117.3359	29.12311	0.02657196	0.08971963	0.05196232	0.01325644	3	29.66793	0.141682	16.1592	15.0252	11.1708	11.5842	18.0071	0.3667533
63000	-610.5233	-504.89	-105.6334	23.42718	0.04888202	0.1064683	0.135785	0.02765297	4	26.02343	0.2422533	19.8963	13.5184	14.0484	7.43156	13.6437	0.5605084
63500	-614.5661	-509.736	-104.8301	22.21188	0.04473063	0.074564	0.02762699	0.05822625	5	29.04421	0.102191	17.3342	7.87692	5.65158	8.04497	15.1592	0.2703467
64000	-616.2545	-510.5753	-105.6792	26.50852	0.03355083	0.1185054	0.006383046	0.01603438	5	28.77477	0.1248885	17.67	10.9783	8.78086	10.1714	14.8824	0.05110997
64500	-614.9757	-509.3284	-105.6473	24.07499	0.03460354	0.121227	0.02733137	0.0242865	5	24.63203	0.1485583	16.2147	8.73513	8.05564	11.2622	17.1994	0.1839774
65000	-615.4531	-502.2505	-113.2026	28.53349	0.03562822	0.1227581	0.07248587	0.04907785	4	29.95074	0.1952439	18.4289	13.2975	15.3032	9.55045	18.0753	0.371258
65500	-604.7546	-498.7717	-105.9829	25.34324	0.04918903	0.07994365	0.03406601	0.03777708	4	28.92279	0.1140097	16.1359	8.45371	7.0059	8.97853	20.1418	0.2987993
